match_id,possession,num_events,team,possession_team,ends_with_shot,duration,num_passes,num_carries,num_dribbles,num_duels,num_players,pressure_events,num_miscontrols,num_dispossessed,start_x,start_y,end_x,end_y,progression,num_turnovers,pass_ratio,progression_rate
3912592,120,9,Manchester United W,Aston Villa W,0,4.385834,2.0,0.0,0.0,0.0,6,1.0,0.0,0.0,120.0,0.1,1.7,38.6,-118.3,0.0,0.2222222222222222,-26.973205096225712
3912592,121,17,Manchester United W,Manchester United W,0,20.167079,6.0,1.0,0.0,1.0,11,6.0,0.0,0.0,6.0,44.0,11.9,23.5,5.9,0.0,0.35294117647058826,0.292556001788856
3912592,122,14,Manchester United W,Aston Villa W,0,5.739497,4.0,3.0,0.0,0.0,6,3.0,0.0,0.0,65.7,80.0,22.9,16.4,-42.800000000000004,0.0,0.2857142857142857,-7.45709946359411
3912592,123,29,Manchester United W,Aston Villa W,0,18.15828303,7.0,5.0,0.0,0.0,11,11.0,0.0,0.0,63.5,80.0,91.3,71.2,27.799999999999997,0.0,0.2413793103448276,1.5309817538404125
3912592,124,5,Manchester United W,Aston Villa W,0,2.105952,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,88.1,71.9,1.6,39.7,-86.5,0.0,0.2,-41.074060567382354
3912592,125,3,Manchester United W,Manchester United W,0,0.766979,1.0,0.0,0.0,0.0,2,0.0,1.0,0.0,8.2,36.6,57.8,72.9,49.599999999999994,1.0,0.3333333333333333,64.6693064608027
3912592,126,24,Manchester United W,Aston Villa W,0,30.381766,8.0,2.0,0.0,1.0,12,6.0,1.0,0.0,18.6,23.9,77.2,51.2,58.6,1.0,0.3333333333333333,1.9287884713482424
3912592,127,14,Aston Villa W,Manchester United W,0,12.067838,4.0,3.0,0.0,0.0,7,2.0,0.0,0.0,76.8,43.9,11.6,34.2,-65.2,0.0,0.2857142857142857,-5.402790458406883
3912592,128,13,Manchester United W,Manchester United W,0,10.823778,4.0,3.0,0.0,0.0,6,2.0,1.0,0.0,89.8,80.0,81.8,2.0,-8.0,1.0,0.3076923076923077,-0.7391134592745712
3912592,129,41,Aston Villa W,Aston Villa W,0,37.12477,10.0,11.0,2.0,0.0,15,12.0,0.0,0.0,25.0,73.8,112.6,24.7,87.6,0.0,0.24390243902439024,2.3596105780588
3912592,130,11,Aston Villa W,Manchester United W,0,12.849408,3.0,2.0,0.0,1.0,5,1.0,0.0,0.0,7.5,55.4,2.6,42.9,-4.9,0.0,0.2727272727272727,-0.38134052557129483
